id,characteristic,known_variations,number_of_users,number_variations
40,Political Ideology,"['Libertarian', 'Liberal', 'Techno-progressive liberal', 'Minarchist', 'Social liberal/fiscal conservative', 'Social liberal, fiscal moderate', 'Radical centrist', 'Communist', 'Anarchist', 'Republican, gun owning & carrying', 'Thats what is wrong with the world now', 'Rational anarchist', 'Political ecology', 'Conservative', 'Green', 'Progressive liberal', 'Ex-trotskyist,romantic anticapitalist', 'Centrist', 'Nonpartisan immortalist', 'Socialist', 'Not sure', 'Representative democracy green socialist', 'Neo-reactionary', 'Pragmatic realist social progressive libertarian', 'Left-libertarian', 'Liberal republican', 'Social liberal, green, fiscal moderate', 'Independent, but i sway left', 'Techno-conservative', 'Independent, but i sway right', 'Social democracy conservative', 'Independent, libertarian leaning', 'Techno-anarchist', 'Liberal ', 'Democratic socialist', 'Constitutional conservative', 'Independent, right leaning', 'American solidarity party', 'Independent/constitutionalist', 'Moderate', 'Social anarchist', 'Frisian patriot and own clan supporter!', 'Independent, left leaning', 'Omni-encompassing', 'Humanist']",356,45
88,Sports interest,"['Somewhat', 'Strongly', 'No interest in sports', 'Snowmobiling', 'Never', 'Gym', 'Baseball', 'Weightlifting', 'Martial arts', 'Basketball', 'Gymnastics, swimming', 'Love participation but hate watching', 'Dance', 'Only watching']",344,14
36,Interest in Spirituality and Mysticism,"['None', 'Strong', 'This is not a measurable phenotype..', 'Slight', 'Medium', 'Academic', 'Agnostic but highly interested at times', 'I belive in the spirits and the other side', 'Strong interest in childhood, then interested in philosophy, science & psychology as an adult', 'Yes', 'No']",338,11
151,mtDNA Haplogroup (PhyloTree),"['H6', 'K2a2a', 'K1a1b1a', 'T1a1', 'I', 'K1c2', 'V', 'U5b1d1b', 'U8a1', 'X2b', 'J1c1b2', 'J2a1a1a3', 'U2e3a', 'L0a1a', 'T2b7a2', 'H10a1', 'H2a4', 'J1c3', 'H18', 'H3', 'H6a1b2', 'U5b1d1', 'H', 'A2', 'U5a1b1', 'H4a1', 'H1', 'J1c2c1', 'J2a1a', 'T2b4', 'H5a1', 'H1bm', 'U5a1a1', 'U4c1a', 'T2e ', 'H1b', 'T2a1a', 'M7b3a', 'U4a3', 'H1c', 'H1a1c', 'T2b', 'K2a', 'T2a', 'H13a2', 'H7f', 'H5b2', 'X2e2a', 'J1c7a', 'Hv9a', 'H6a1a', 'H1c1', 'B2', 'H11', 'H1g', 'X2c1', 'M2a1a', 'L2a1c1', 'L1b1a', 'H36a', ""H, h30 on james lick's site"", 'X2b4', 'U5', 'L2b2', 'H1ax', 'R0a2', 'H2a2a1', 'U5a1a1h', 'M1a3a', 'H1h', 'H1h1', 'N1a1a1a', 'Hv6', 'U2e1a', 'H15a1', 'You act like we all are geneologist', 'F1c', 'U5a1d2a', 'V3', 'K1a2a', 'I2a', 'L2b1a', 'U3a1', 'V1a', 'U2e', 'T2b7a1', 'H1n', 'Hv0', 'T2c1', 'X, x2, x2c, x2c1, n, l1,2,3,4&6', 'U2c', 'D1e', 'T2 ', 'J1c3e1', 'H23', 'J2a1a1b', 'H7a', 'D5c', 'H67', 'U8a1a1b', 'U5a1c1', 'C1b12', 'H26', 'H4', 'R0a', 'L2a1c', 'U5a1b', 'H1b1', 'H66a', 'K1c1', 'Hv2a', 'U5a2b', 'H20', 'T2b2', 'J1c2o', ""I don't know "", 'L3e2a1b1', 'I1a1', 'C5c1a', 'L1b1a10', 'H1e', 'U2e1*', 'H7b4', 'K1a1b2a', 'U1b', 'K1a3a3', ""H29 from james lick's website"", 'H1e1a', 'J1c5', 'H17', 'H1c3', 'H11a2a', 'X2-g225a', 'I3a', 'T1a1k', 'Hv-16311c', 'K1a4', 'M33a2', 'L3h1b2', 'J1c2c', 'U5a1d1', 'U4a2', 'U5b1d', 'H1a1', 'U5a2', 'K1a4a1a2', 'D4', 'X2m', 'K2b1', 'U3a1c1', 'H5b1', 'K2b1a1', 'H7i1', 'U5b2a2b1', 'W4a1', 'I2 ', 'H7b6', 'H3-t152c!', 'U8a1a3', 'U3b', 'S2', 'H1ay', 'U5b2a1b', 'H3f', 'T2a1', 'H27', 'K1a1', 'J1c ', 'H5a1a', 'K1a4a1a', 'H2a2b4', 'H1b2', 'H4a1a4b', 'J1c3c', 'J1c1 ', 'K2a6', 'K1c1b', 'H2a5b2', 'R8a1a3, many h1a calls', 'U3a', 'J2a1a1a2', 'I3a1', 'H2a1', 'J2a2b2', 'J1c', 'U8a1a1a', 'K1a', 'J1c2', 'U7b', 'H7', 'P9a2', 'H35', 'H19', 'U4c1', 'Hv1b2', 'J1b1a', 'J2b1', 'B2c', 'M9a1a1a4', 'U5a2b1b1', 'U2e1b1', 'T2b26', 'L3e2b1a', 'H4a', 'X2c1d', 'H7a1a']",332,206
35,Artistic ability,"['Moderate', 'Excellent', 'This is not a measurable phenotype.', 'No', 'Not artistic', 'Medium', 'Yes', 'Good', 'Some forms, photography-yes, drawing-no', 'Passive receptive,good color balance', 'Very little', 'Photography and music', 'Not sure what you mean', 'Fair', 'Short story - fantasy', 'Pottery & music - some drawing', 'Better than average.', 'In many areas', 'Very good', 'Drawing, crafts, welding, writing, design, etc.', 'Low to moderate', 'Caucasian', 'Subjective', 'Cancer', 'Poetry, prose, graphic design']",330,25
48,Myers-Briggs Type Indicator,"['Enfp', 'Intp', 'Istj', 'Entj', 'Intj', 'Entp', 'Estj', 'Infp', 'Infj', 'Never taken', 'Esfj', 'Already answered on previous submission...', 'Enfj', 'Isfp', 'Intj / enfp', 'Istp', 'Intj ', 'Isfj', 'Intj/infj', 'Esfp', 'Intp/j', 'N/a', 'Istp-t', 'Infp-t']",326,24
147,Migraine frequency,"['6-11', 'None', '1-2', '1-3 attacks a month on average ', 'Rarely', '3 or more attacks per week', '3-5', 'Daily without prophylactic medications, now 1-2 weekly', 'Used to be very frequent, diminished as i got older', 'Used to occur 1-2 times weekly, now only 1-3 times a month.', '1 to 2 per year', 'Visual migraines about 4 or so times a year', 'Migraines with visual disturbance/speech affected commenced at age 13 (onset puberty) since menopause have nearly disappeared. now very short, minimal visual disturbance, slight headache.', 'Daily', 'Daily even with medication or nerve block since about the age of 8']",325,15
185,Cat or Dog person,"['Dogs and cats, but allergic to cats :(', 'Dog', 'Cats and dogs', 'Cat', 'Dog (actually rabbit person!)', 'Neither', 'Both', 'Both, but cats more than dogs (also allergic to cats(', 'Both but cats more than dogs', 'Both, but dogs more than cats', 'Dogs, but allergic to both', 'Dog (allergic to short haired dogs)']",314,12
62,Good / poor eater as child,"['Good eater', 'Poor eater', 'Eat a lot of different things', 'Average', 'Picky eater', 'Good but picky as a child', 'Poor, due to food allergies/sensitivities']",314,7
112,Acrophobia,"['No', 'Counterphobic (skydiver)', 'Yes', 'Afraid of falling.', 'Counterphobic (tree and roof-climber, as a kid)', 'No as a child - fear of falling from heights gradually got (a lot) worse as i aged', 'Medium', 'Slightly', '(supposedly) a precocious infant climber, rock-climbed through my 30s, now somewhat vertiginous', 'Tremendously ', 'Antiphobic, counterphobic ', 'Acrophilia']",311,12
80,natural skinny,"['No', 'No trouble gaining weight, no trouble losing it', 'Yes - as a kid', 'Yes', ""Can't gain weight when i eat wheat"", 'Yes when young', 'Yes - especially as a kid (went into low-normal range as adult)', 'Obese', 'Not sickly-skinny but naturally slim', 'Overweight but can lose', ""Was always very thin as kid and in twenties, couldn't gain weight, changed around age 30 and now am slightly overweight and can't lose it"", 'Very skinny as child, didnt gain weight but now, overweight, trouble losing it', ""Very slim as child, now average. 6'0  180lbs"", 'Heavy as a child, now thin', 'Overweight as a child, lost many times, now back to obese as an adult', 'Unable to gain weight', 'Skinny, max weight 145 lbs until i quit smoking at 25yo, steady weight gain since.', 'Average', 'Yes-trouble maintaining weight until menopause, now overweight. ']",310,19
124,Peanut butter preference,"['Like peanut butter and prefer smooth', 'Like and have no preference for chunky or creamy', 'Do not like peanut butter', 'Like peanut butter and prefer chunky.', 'Like chunky more than creamy', 'I like chunky but it dont like my worn out teeth', 'Natural', 'Only in cookies', ""Like chunky no-salt; hate smell of others eating it when i'm not"", 'Non peanut butter', 'Like creamy peanut butter only.', 'Like peanut butter but never with jelly', 'Hate it', 'Crunchy']",306,14
64,Sneezing induced by sexual ideation or orgasm?,"['No', 'No response', 'Undiagnosed:)', 'Yes', 'Induced by sexual ideation only']",303,5
140,Social Level,"['Extroverted', 'Little social', 'Introverted', 'Antisocial', 'Antisocial, extroverted', 'Very social ', 'Asperger', ' very high openess to experience, low agreeableness', 'Asocial', ""Very high functioning but introverted asperger's"", 'Introverted but make friends quickly and easily', 'Average social', 'Sociable but introverted', '50/50', 'Introverted possible asd', 'Extroverted introvert']",303,16
21,Short-sightedness (Myopia),"['False', 'Low', 'Medium', 'High', 'Moderate', 'Adult onset; disease-related', '20/40 corrected  so modeately high', 'At age 40', ""Don't know- had cararacts removed"", '20/25', 'Normal', 'High in one eye (right)', 'Yes', '20/300', '20/400', 'Astigmatism in right eye', 'Myopia age 10', 'Mild, 20/40 vision', 'Yes, adult onset at 48 years old ']",301,19
12,Beard Color,"['Red', 'Blonde', 'Red-brown', 'Red-blonde-brown-black(in diferent parts i have different color,for example near the lips blond-red', 'No beard-female', 'Brown-black', 'Blonde-brown', 'Black', 'Dark brown with minor blondish-red', 'Brown-grey', 'Red-blonde-brown-black', 'Blond-brown', 'Brown, some red', 'Brown', 'Brown-gray', 'Never had a beard', ""I'm a woman"", 'Black-brown-blonde', 'Was red-brown now mixed with gray,', 'Red-blonde-brown', 'Dark brown w/few blonde & red hairs', 'Dark blonde with red and light blonde on goatee area.', 'Black with few red hairs', 'Black, graying', 'Red, moustache still is, beard mostly white', 'Blonde/brown-some black-and red on chin-all starting to gray', 'Dark brown', 'Every possible color, most hair shafts have more than one color at different points along the shaft', 'Black with few white hairs', 'Brown ginger', 'Dark blonde', 'Black - going white due to age', 'N/a', 'Black beard with red hairs here and there and a bronze/red mustache']",300,34
113,Phobia,"['No', 'Yes', 'Height', 'Arachnophobia', 'Social', 'Agoraphpboa panic disorder', 'Bridges', 'Batophobia, trypophobia', 'Acrophobia', 'Rats', 'Several', 'Pressure cookers', 'Claustrophobia', 'Many things cause adrenaline - but i like it', 'Bees', 'Trypophobia', 'Cockroaches', 'Public speaking', 'Snakes', 'Yes, those lg yellow grasshoppers in miami, fl.', 'Cynophobia', 'Fear of deep waters', 'Fear of deep waters, spiders, spiders in deep water, high places, and spiders in high places.', 'Agoraphobia']",297,24
93,lips size,"['Small', ""Thin - cupid's bow shape"", 'Big', 'Normal/medium', 'Full lips', 'Thin lips, straight line-like', 'Thin', ""Normal/medium cupid's bow shape"", 'Thick lips', ""Full/slightly wide lips with cupid's bow shape"", 'Normal upper, large bottom lip']",295,11
133,Age learned to read,"['5', 'Early reader', '4', '3', '7', '6', '1', 'No idea', '2', 'Some where between 3rd and 6th grade', 'Simple words 5 - paragraphs 13', 'Before kindergarden', '6. early struggler, then suddenly an advanced reader', '15']",294,14
137,Panic Disorder,"['No', 'Yes', 'Yes, age 30', 'I have minor panic disorder, its in remission and almost gone i was in my 20s', 'Yes, age 20', 'Yes, age 17', 'Slight', 'Undiagnosed but sometimes severe, other times in remission', 'Yes, since early childhood.', 'Yes, when extremely stressed', 'Severe panic and anxiety ', 'Yes, age 15', 'Yes, age 22', 'Yes, age 37 controlled with medication']",294,14
85,hair on fingers,"['Yes', 'Slight', 'No hair from top of finger to second knuckle.', 'No', 'Not visible but is there, slightly']",291,5
130,Jewish Ancestry,"['No', 'Unknown', 'Yes', '25%', 'Gg', '44.3% ashkenazi', 'Undocumented, but share genetic markers with some ashkenazi jews', '50%', '1% ashkenazi', 'Ashkenazi', '.1%', '3% ashkenazi', '31%', '.4%', '.3%', '2% ashkenazi', '1.5% ashkenazi', 'Yes ', '< .1%', '1.8%', ""I'm trying to figure that out from my dna results."", '5% ashkenazi', '25% ashkenazi', '68% ashkenazi', '17.5% ashkenazi', '50% ashkenazi', '4% ashkenazi, 46% sephardic, 15% mizrahi', '12.5% ashkenazi']",291,28
109,Tea consumption,"['1 - 3 daily', '3 - 4 daily', 'Occasionaly', 'Rarely', '1', '2-3 cups/day', '8', '2 cups per month', '1-2 cups/day', '1 a day', '0', 'Spice tea only, seldom', 'Herbal tea only, many cups daily', '5-6 daily', 'Tea makes me sick', '8 cups a day: organic green, white, matcha', '0-3 some days', 'I quit drinking tea because i was comsuming 24 venti starbucks iced teas a day <-- recovered tea-a-holic']",290,18
32,Webbed toes,"['None', 'Second and third toes, both feet', 'Non', 'Second and third toes, right foot', 'Not webbed', 'No', 'Second and third toes, left foot', 'Second and third toes both feet']",287,8
231,Do you like the taste of bananas?,"['Yes', 'No', 'Not really', 'Aversion to bananas', 'Only when they are a little green', 'Sometimes', 'Ok']",286,7
111,Dyslexia,"['Yes', 'No', 'Not until age > 50 years', 'Very slight, after the age of 30', 'Yes, mild', 'Slightly since mid-40s', 'Dyslexic symptoms, not diagnosed']",285,7
245,Degree of Empathy,"['High cries easily', 'Moderate', 'Extremely high', 'High (stoical)', 'Rs53576', 'Hurts me to see animals hurt', 'Low', 'Extreme', 'Rs53576 gg', 'High', 'I feel sorry for drowning bees', 'Average', 'Rs53576 g/g', 'Sensitive to the emotions of both humans and other creatures. ', 'Sensitive to the emotions of both humans and other creatures', 'Rs53576 aa (bitch gene?)', ""Not sensitive to other's emotions"", 'High empathy but low compassion']",282,18
99,Enjoy watching TV,"['Moderate', 'No', 'Yes', 'Yes (i enjoy watching tv) ', 'Very little', 'I have no tv, but i enjoy watching hulu/netflix/youtube/other streaming video', 'Some,nost stuff on now is garbage', 'Most stuff now on tv isent worth watching89% garbage', 'Light to moderate-only a good movie every now and then', 'Only specific shows', 'I choose not to watch commercial television/ prefer research/ self guided learning (many subjects) online to occupy free time.', 'Watch tv but prefer streaming and as adjunct to exercise', 'I have to be doing something else at the same time, cannot and do not enjoy solely focusing on a show or a money']",281,13
67,Jogger,"['Regular', 'Rare', 'No', 'Never', 'Regular, sometimes, rare, never', 'Sometimes', 'I work hard and walk alot no need to jog', 'Former 20 year jogger', 'Jogger for >20 years but walking more due to sore knees', 'No tolerance for jogging due to arthritis. also appear to have ampd1 deficiency. so no surprise now.', 'Couples times a week on treadmill', 'Only occasionally for fun /sports', 'No too top heavy ', 'Prefer short sprints or long hikes', 'I used to ']",279,15
43,ABO Rh ,"['A+', 'O-', 'B+', 'Rh+', 'O +', '0+', 'A-', 'O+', 'Rh-', 'Rh+ (+/+) ', 'Ab+', 'B-', 'Ab-', 'B+/-', 'Abo+']",276,15
200,Reading habits,"['Mostly non-fiction', 'Mostly fiction', 'Fiction and non-fiction equally', 'Read everything', 'Science fiction', 'Factual/science/biog only', 'History and fiction', 'None', "" a huge reader but only like history, educational material and things i can learn from.  i don't like to read fantasy or science fiction, romance and etc. "", 'Read broadly but avoid pulp.', 'Non-fiction']",273,11
152,Weight,"['76 kg', '120', '180 lbs', '145 lbs', '51 kg', '100 kg', '55 kg', '97', '83kg', '131 kg', '135 lbs', '53 kg', '110 lbs.', '97kg', '175 lb', '230lbs', '165 lb', '210 lbs', '118 lbs', '150 lbs', '220 lbs', '82 kg', '125 lbs', '155 lbs', '240 lbs', '270 lbs', '102lbs  46kg', '87kg', '162', '133 lbs', '190 lb', '74kg / 164lbs', '92 kg', '75 kg', '268.4 lbs', '73 kg', '170 lbs', '88kg', '63 kg', '128 lbs', '61 kg', '255 lbs', '70 kg', '67 kg', '136 kg', '225 lbs', '200 lbs', '86kg', '318 lbs', '60 kg', '85 kg', '290', '185 lbs', '79 kg', '72 kg', '132lbs', '142', '100 lbs', '90kg', '260 lbs.', 'None of your business', '115 lbs', '108 - 114 lbs most of adult life', '160 kg', '130 lbs', '141 lbs', '140 lbs', '225 pounds', '235lbs', '108 lbs entire adult life (excluding predgnancy and 1 month post baby)', '50', '83 kg', '78.5 kg', '102 kgs', '15 stone', '210lbs', '335lbs', '90 lb', '65 kg', '62kg', '43 kg']",272,81
74,Index Toe Longer than Big Toe,"['Index toe longer', 'Index toe larger than big toe', 'Right side index longer, left sidebig toe longer', 'Big toe larger then second or index toe', 'No', '2nd toe longer', 'Left index longer than big toe', 'Right side index longer.', 'Toe size in order big thru little', 'Index toe the same height as big toe', 'Yes', 'Morton’s neuroma']",268,12
222,Academic degree,"['Bachelors', 'College', 'High school ', 'Ma', 'Phd', 'Some university', 'Md', 'Ba cum laude', 'Dd', 'Jd', 'Multiple aas degrees', 'Ms', 'Multiple', 'Tech/trade school', 'Ba', 'Still in college', 'Associate of applied science', ""Bachelor's, some graduate school"", 'Associate in science, liberal arts social science', 'No', 'Graduate, some courses beyond']",268,21
173,Irritable Bowel Syndrome,"['Yes (severe)', 'No', 'Yes (mild)', 'Yes (occasionally, under stress)', 'No if i cut out all wheat, gluten and sugar', 'Yes', 'No issues unless i consume wheat, gluten, dairy and sugar.', 'Constipation and bloating', 'Used to - 1 week of juicing cleared it', 'Before 10ft colon resection, yes', 'Used to - cut out gluten and symptoms are now rare']",265,11
232,Do you grind your teeth,"['Yes', 'Have been told i did sometimes while sleeping', 'No', 'Clench but don’t grind', 'A lot, only while sleeping', 'Occasionally']",264,6
134,Sense of smell,"['Average', 'Poor', 'Above average', 'Good', ""It's my super power"", 'Great', 'Lessening with age', 'Plugged', 'Very good', 'Overly sensitive']",263,10
170,Earlobe:  Free or attached,"['Free', 'Fully attached', 'Mostly unattached', 'Rs208040', 'One ear is free, one is attached.']",262,5
154,Does cilantro taste like soap to you?,"['No', 'Yes', 'Never tasted', 'It used to but i like it now', 'Not sure about soap but i dont like it', 'Spectrum child, but love love cilantro now', 'Rs190214723\t1\t693625\tt\tt', 'Never until i got pregnant']",261,8
163,Motion sickness,"['Depends on what and where', 'When i was younger', 'Different', 'Yes', 'No', ""Don't understand the question"", 'Only sea-sickness', 'Sometimes', 'Car only occasional ', 'Developed as an adult', 'None', 'Sea sickness as older adult', 'Car sick, even gaming causes motion sickness', 'Only with jerky tv and video games. no problems in real life', 'Yes, as a child']",255,15
146,Migraine,"['Yes, both with and without aura', 'No', 'Yes, without aura', 'Yes, hemiplegic with aura', 'Vestibular migraine, with and without aura', 'Yes, always with aura', 'Diagnosed as teenager, migraine free as adult', 'Not sure it really is a migraine', 'Complex migraine', 'Ordinary and hemiplegia migraines, both without aura', 'Occasional', 'Yes, basilar', 'Rarely', 'Migraine with aura', 'Acephalgic (with aura, but without pain)']",255,15
97,Photic Sneeze Reflex (Photoptarmis),"['Photic sneezer', 'No sneezing', 'No', 'Cc', 'Photic sneezer - but do not have snp', 'I have the snp but no sneezing', 'Not in light but do have sneezing fits on occasion', 'Photic sneezer with the snp', 'Instant sneezing using pepper on my plate', 'Rs10427255', 'Sometimes', 'Yes', 'Bright light helps control my sneezing (moves it along) but not an uncontrollable source of.']",254,13
270,number of biological children,"['2', '0', '3', '1', '4', '6', '5', 'Unmarried yet and no previous attempt', 'One second trimester miscarriage and five live births', '4 live births 1 stillborn ', 'Unknown (donated)', 'Eleven. seven male & four female. fraternal twins twice but first multiple pregnancy was natural conception triplets with 1 first trimester miscarriage & 2 retainedf with live birth.', '3 boys', '4 first trimester miscarriages and 2 live births', '4 first trimester miscarriages, 2 premie (1 passed away) and 1 still born in 3rd triamester', 'First trimester m/c 2. second trimester m/c 1 set of twins. 4 live births.']",253,16
96,Neanderthal,"['2.7%', '2.5% at 23andme', '2,7 %', '2.3%', '2.2%', '3.2%, 99th percentile of northern europeans', '2.6% or 54th percentile', '3.0% or 95th', '2.9%', '3.1%', '2.8 %', ' 2.9% at 23andme', 'Have no idea', '2.1%', '2.4%', '2.6% 65th percentile', '3.0% (96th percentile) - @23andme', '2.7% @ 76th, i am southern european', '3.1% at 23andme', '6 out of 22 snps(promethease report)', 'I had zero %', '1.3% at 23andme', 'Neanderthal ancestry ', '3.5%', '2.6% or 27th percentile', '1.9%', 'Per interpretome 10 snps', '2.6%', '2.9% geno2', '2.3% at 23andme', '1.2', '1.8%', 'Yes, rs12416000(a;g)', '2.5%', '50% 23andme', '3.3%', '297 neanderthal variants ', '4%', '21% precentile 23&me 255 variants', 'No, rs12416000 (g;g)', '288', '264 variants', '305 neanderthal variants detected (at 23andme)', '0.34%', '269 variants', '286 variants', 'I have about 1% from ged match', '272 variants', '294 variants', '260 variants', '314 variants', '294 confirmed variants, 76th percentile (roughly 2.7%)  ~ 23andme', '<2%', '224 variants ', '1242 mutations']",250,55
50,Type II Diabetes,"['No', 'Normal', 'No, but genetically predisposed ', 'Diabetes mellitus [t2d]', 'R1b1a2a1a1a4', 'Gestational diabetes', 'Prediabetic', 'Gestational diabetic and now type ii', 'No. i have type 1 diabetes', 'Rs7903146', 'Havent a clue', 'Yes', '118 mg/dl']",250,13
49,Subjective dream intensity,"['Moderate; rarely vivid', 'Low', 'Rare memories of dreams', 'High', 'Moderate', 'I have exhausting lucid-dreams', 'Qualitative questions like this bother me, a lot', 'They were more intense when i was younger. ']",249,8
75,"Intolerance: gluten, casein, soy","['No intolerance', 'Rs2300753 cc', 'Soy intolerant', 'Wheat intolerant', 'Rs2300753 cc and no intolerance', 'Gluten & casein intolerant, soy tolerant', 'Gluten, casein, and soy intolerant', 'Possible celiac', 'Celiac', 'Lactose', ' rs4988235 ag likely to be tolerant', 'Gluten intolerance', 'Casein intolerance', 'Intolerance of gluten and soy', 'No but close family member with gluten intolerance', 'Celiac, casein intolerant, soy intolerant', 'Gluten, soy and corn intolerant ', 'Rs4988235 aa no intolerance', 'Rs2300753 c/c and gluten sensitive', 'Excess soy affects thyroid function = moves towards hypothyroid', 'Have almost every genetic marker and primarily asymptomatic. depending on environmental factors i can/cannot tolerate. inconsistent response. reactions are severe, or there is no reaction at all. stress seems to be the determining factor.']",244,21
169,Do you have a parent who was diagnosed with Alzheimer's disease?,"['No', 'Yes,  my father', 'Nope they are dead', 'Yes, my mother', 'No they both died', 'Yes, grandparent', 'No, sister w/early onset', 'Parents died too early. maternal grandmother was.', 'No, but i have a grandparent who was']",243,9
98,Smell of coffee in urine,"['No', ""Unknown (don't drink coffee)"", 'Yes', 'Strongly', 'Not sure if coffee  have smelled ""sweet"" smell periodically', 'If i drink to much yes kinda']",242,6
236,Blood Type,"['O+', 'B-', '0-', 'A-', 'A+', 'O (rh factor unknown)', 'B+', 'Ab+', 'Ab-', 'Ao - -   ', 'African', 'O positive', 'A- (cis-a2b3) unknown allele', 'A2b+', 'Type o', 'O-', 'B']",241,17
224,Extra Fingers (Polydactyly),"['None', 'Ulnar', 'Non, but i had an extra front tooth removed', 'No', 'Additionnal fingerprint in the hypothenar of the hand']",241,5
230,Can You Spread Your Toes? ,"['Yes- both feet', 'No', 'Only one foot', 'Only big toe, both feet.', 'Yes both feet']",241,5
18,Moles raised,"['Few', 'Some', 'Rare', 'None', 'Many', 'Some are slightly raised', ""I haven't raised any moles"", '2, removed', '5-10', '1', '2']",240,11
244,Fainting Upon Seeing Blood/Gore/Violence,"['No', 'Very woosey almost fainted ', 'Yes', 'Makes me tense', 'Sometimes', 'How does anyone with menses faint at blood', 'Fainted as a child. now i just feel sick']",237,7
280,Sexuality,"['Homo-flexable', 'Heterosexual', 'Not heterosexual', 'None', 'Hetero', 'Exclusively homosexual', 'Bisexual', 'Females only', 'Hetero with some extra variations', 'Asexual', 'Bisexual/lesbian in 11 year same sexunion', 'Attracted to androgynes/hermaphrodites', ""I don't masturbate"", 'I am queer. look it up.', 'Pansexual', 'Demisexual']",236,16
216,Hair color changed from blonde to brown,"['N/a', 'Blonde as a child, then red for a few years before dark brown ', 'Blonde as child', 'Light ash brown to dark ash brown', 'Always brown', 'Always blonde', 'White as child', 'Dark-haired only 8% brown that changes to white', 'True', 'No', 'Very blonde - changed to brown after puberty', 'Blonde changed to brown after age 30', 'Dark blonde as a child, now moderate brown', 'Blonde as a child, brown after first pregnancy', 'Blonde as a toddler, darkened as i aged until medium-dark brown by adulthood', 'White as child, golden after age 3, beige since 20s', 'Hair was red as a toddler and now its like mousey looking some years its more blonde some years more red but this year more brown']",235,17
249,Favorite Color/Colour,"['Green', 'Magenta/purple', 'Blue', 'Red', 'Browns', 'Grey', 'Cyan', 'Orange', 'Gold / dark green', 'Aqua', 'Green/blue', 'Salmonred', 'Purple', 'Cobalt blue', 'Yellow', 'Pinks', 'Lavender & red based browns', 'Turquoise', 'Blue/green', 'Yellow and black', 'Blues to purples', 'Violet', 'Black']",234,23
119,Musical Perfect Pitch,"['No', 'Yes', 'I have musical abilities', 'I dont know', 'I have good relative pitch, sometimes bordering on perfect pitch. ', 'No musical ability', 'Used to be able to when i was younger and could hear better']",234,7
242,Handwriting/Fine Motor Skills,"['Slight', 'Excellent', 'Average', 'Messy', 'Dysgraphia', 'No difficulty', 'Poor cursive, otherwise ok', 'Good handwriting but otherwise slight fine motor skill deficit', 'Messy but legible', 'Great at drawing, terrible handwriting ', 'Excellent in youth, poor in age', ""Can't read my own writing"", 'Left-handed', 'Hypermobile fingers; slight dyslexia, adapted motor control ', 'Yes', 'Delayed fine motor skills, messy handwriting', 'No']",230,17
141,Penicillin reaction,"['None', 'Penicillin allergy', 'Hives', 'Dont know', 'Thrush', 'Allergic to cipro', 'Allergic to ceftin', 'No allegy (have been tested) but get blisters on hands and neck and breathlesness']",229,8
197,Depression,"['Yes', 'No', 'Yes at times', 'Situational depression', 'Diagnosed.']",228,5
127,Like the taste of Stevia,"['No', 'Yes', 'Never tasted it', 'Somewhat', 'What is stevia', 'Not that much', 'Makes me ill', 'It tastes alright']",225,8
247,Vegetarianism/Preference for Meat,"['Only chicken,fish and turkey', 'None', '50/50', 'Vegan', 'Ovo-pescatarian', 'Paleo (high meat consumption)', 'Lacto-ovo vegetarian', 'Meat 2+ times per day', 'Meat tastes awful to me', 'Meat over vegetables', 'Mostly vegetarian, but crave seafood', 'Meat eater', 'Mostly vegetarian, eat some poultry. other meat rarely. no fish', 'Perfer chicken,fish and turkey will eat hamburger occasionally ', 'Meat 2x per week', 'Mostly vegan, unable to give up cheese', 'Mostly vegan, completely vegetarian', 'Mostly vegetarian, eat fish/seafood and chicken occasionally, eat very rare steak very rarely', 'Lacto-ovo-pescatarian', 'Atkins (high meat consumption)', 'Very choosy about what meat i consume', 'Preference for vegetable/fruit diet, more marked with ageing.  meat preferences chicken.  seafood - tuna, salmon, oysters, crab, prawns but not scallops', 'Mostly pescetarian but sometimes i like to eat meat.', 'Omnivore but low affinity for meat except poultry and fish', 'Omnivorous']",225,25
248,Preference for Loud Music,"['I like loud music but not excessivly.', 'None/dislikes ', 'Strongly dislike loud music', 'Yes', '> 85', 'No, auditory processing disorder', 'No, loud noises especially high pitches hurt my ears', 'No', 'Yes, in youth; now, no', 'Depends on my mood. sometimes yes, sometimes no.', 'Yes (but i like soft too)']",222,11
116,Cystic Fibrosis Like Disease,"['No', 'Deltaf508', 'Crms', 'I dont know', 'Extreme pruning of hands', 'Carrier of one rare cf mutation: arg352trp', 'Carrier w1282x']",220,7
223,Number of fingers,"['Standard', '6+5', '10 (8 fingers, 2 thumbs)', '10']",219,4
303,how do you like your steak?,"['Almost burned', 'Vegetarian', 'Rare', 'Medium well', 'Medium', 'Well-done', 'Medium rare', 'Raw', 'Medium maybe once a year if that', ""Don't eat red meat"", 'Vegan', 'All levels except ""cutting its horns off and wiping its ass""']",218,12
31,Morton's Toe,"['No', 'Second toe longer', 'Yes', 'Do not have this condition', ""Second toe longer, but same length as toe in relaxed position (toes don't stay straight)""]",217,5
